level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
bonus1,5,5,10,10,350,328,1.0,0.5709,73,0.2226,0.2086,6131.5,top_solver
bonus1,5,6,10,10,368,328,1.0,0.5868,64,0.1951,0.1739,3607.5,top_solver
bonus1,5,7,10,10,379,328,1.0,0.5406,60,0.1829,0.1583,2635.0,top_solver
bonus1,5,8,10,10,330,328,1.0,0.5543,55,0.1677,0.1667,3132.0,top_solver
bonus1,5,9,10,10,425,328,1.0,0.5282,56,0.1707,0.1318,5198.6,top_solver
bonus1,6,0,10,10,332,328,1.0,0.5175,58,0.1768,0.1747,9716.9,top_solver
bonus1,6,2,10,10,347,328,1.0,0.5948,88,0.2683,0.2536,3775.6,top_solver
bonus1,6,3,10,10,342,328,1.0,0.6123,74,0.2256,0.2164,2967.9,top_solver
bonus1,6,4,10,10,346,328,1.0,0.6472,80,0.2439,0.2312,8250.6,top_solver
bonus1,6,6,10,10,335,328,1.0,0.611,62,0.189,0.1851,2739.3,top_solver
bonus1,6,7,10,10,437,328,1.0,0.5858,84,0.2561,0.1922,18574.3,top_solver
bonus1,6,8,10,10,352,328,1.0,0.5469,66,0.2012,0.1875,3004.8,top_solver
bonus1,6,9,10,10,328,328,1.0,0.5438,86,0.2622,0.2622,3030.9,top_solver
bonus1,7,0,10,10,349,328,1.0,0.5193,52,0.1585,0.149,4026.4,top_solver
bonus1,7,1,10,10,330,328,1.0,0.5721,59,0.1799,0.1788,13822.4,top_solver
bonus1,7,2,10,10,356,328,1.0,0.5734,47,0.1433,0.132,3007.2,top_solver
bonus1,7,4,10,10,466,328,1.0,0.6481,71,0.2165,0.1524,4250.8,top_solver
bonus1,7,5,10,10,328,328,1.0,0.6757,55,0.1677,0.1677,3300.3,top_solver
bonus1,7,7,10,10,333,328,1.0,0.6622,113,0.3445,0.3393,5031.4,top_solver
